prefectural_bureau,station_id,prec_no,block_no,station_type,url_station_type,station_name,katakana_name,romaji_name,location,latitude_decimal,longitude_decimal,elevation,observation_start_date,observation_start_date_rain,observation_start_date_other,weather_info_name,anemometer_height,thermometer_height,notes1,notes2,rainfall_YN,temperature_YN,wind_YN,sunshine_YN,relative_humidity_YN,atmospheric_pressure_YN,snowfall_YN
宗谷,11001,11,1284,四,a,宗谷岬,ｿｳﾔﾐｻｷ,souyamisaki,稚内市宗谷岬,45.52,141.935,26,昭53.10.30,1978-10-30,1978-10-30,稚内市宗谷岬,10.1,3.1,－,－,Y,Y,Y,Y,Y,N,N
宗谷,11016,11,47401,官,s,稚内,ﾜｯｶﾅｲ,wakkanai,稚内市開運　稚内地方気象台,45.415,141.67833333333334,3,#昭50.4.1,1974-11-01,1975-04-01,稚内市開運,24.1,1.5,11903,－,Y,Y,Y,Y,Y,Y,Y
宗谷,11046,11,1546,四,a,礼文,ﾚﾌﾞﾝ,rebun,礼文郡礼文町大字香深村トンナイ,45.305,141.045,65,平15.10.17,2003-10-17,2003-10-17,礼文町香深,9.9,3.1,－,－,Y,Y,Y,Y,Y,N,N
宗谷,11061,11,1528,官,a,声問,ｺｴﾄｲ,koetoi,稚内市大字声問村字声問　稚内航空気象観測所,45.403333333333336,141.80166666666668,8,平15.1.1,2003-01-01,2003-01-01,稚内空港,10,1.5,11904,日照・湿度・気圧を除く,Y,Y,Y,N,N,N,Y
宗谷,11076,11,1285,四,a,浜鬼志別,ﾊﾏｵﾆｼﾍﾞﾂ,hamaonishibetsu,宗谷郡猿払村浜鬼志別,45.335,142.17,13,昭53.10.30,1978-10-30,1978-10-30,猿払村浜鬼志別,9.9,2.7,11900,－,Y,Y,Y,Y,Y,N,Y
宗谷,11091,11,1512,官,a,本泊,ﾓﾄﾄﾞﾏﾘ,motodomari,利尻郡利尻富士町鴛泊字本泊　利尻航空気象観測所,45.24166666666667,141.18666666666667,30,平15.1.1,2003-01-01,2003-01-01,利尻空港,10,1.5,－,日照・湿度・気圧を除く,Y,Y,Y,N,N,N,N
宗谷,11121,11,1203,四,a,沼川,ﾇﾏｶﾜ,numakawa,稚内市声問村沼川,45.248333333333335,141.85166666666666,23,昭52.10.20,1977-10-20,1977-10-20,稚内市沼川,9.9,3.2,11905,－,Y,Y,Y,Y,Y,N,Y
宗谷,11151,11,0002,四,a,沓形,ｸﾂｶﾞﾀ,kutsugata,利尻郡利尻町沓形泉町,45.178333333333335,141.13833333333332,14,#昭52.10.24,1974-11-01,1977-10-24,利尻町沓形,9.9,2.5,－,－,Y,Y,Y,Y,Y,N,N
宗谷,11176,11,1054,四,a,豊富,ﾄﾖﾄﾐ,toyotomi,天塩郡豊富町豊富東2条,45.10166666666667,141.78,14,(昭50.5.29)昭52.10.24,1975-05-29,1977-10-24,豊富,9.9,2.7,11910,－,Y,Y,Y,Y,Y,N,Y
宗谷,11206,11,0003,四,a,浜頓別,ﾊﾏﾄﾝﾍﾞﾂ,hamatonbetsu,枝幸郡浜頓別町クッチャロ湖畔,45.125,142.35,18,#昭52.10.19,1974-11-01,1977-10-19,浜頓別,9.9,2.7,－,－,Y,Y,Y,Y,Y,N,N
宗谷,11276,11,1051,四,a,中頓別,ﾅｶﾄﾝﾍﾞﾂ,nakatonbetsu,枝幸郡中頓別町上駒,44.965,142.28,25,(昭50.5.28)昭52.10.19,1975-05-28,1977-10-19,中頓別,10.1,3.5,11915,－,Y,Y,Y,Y,Y,N,Y
宗谷,11291,11,47402,官,s,北見枝幸,ｷﾀﾐｴｻｼ,kitamiesashi,枝幸郡枝幸町本町　北見枝幸特別地域気象観測所,44.94,142.585,7,#昭51.1.1,1974-11-01,1976-01-01,枝幸町枝幸,17.2,1.5,11917,－,Y,Y,Y,Y,Y,Y,Y
宗谷,11316,11,0005,四,a,歌登,ｳﾀﾉﾎﾞﾘ,utanobori,枝幸郡枝幸町歌登東町,44.84166666666667,142.48,14,#昭52.10.18,1974-11-01,1977-10-18,枝幸町歌登,9.9,3.5,11920,－,Y,Y,Y,Y,Y,N,Y
